Row Labels,Accessories,ACE,Advanced Signal Conditioning Modules,Analog Inspection & Test,ANT-5,Attenuators & Backreflector Modules,Benchtop Inspection,BrightJack,CA product,Calibration Plan,Calibrations,CapacityAdvisor Held,CellAdvisor,Certifier,CleanBlast,Common Product,Converged Assurance Support,CT-650,CT-650SM,Digital Inspection & Test,Direct View FM,Dispersion modules,DSAM,DSAM 2300/3300,DSAM Upgrades,DSAM-6300,DTS,EA Support,Education,Ethernet Network Management Tools,Extended Warranty,FIT Generic,FST-2000,FST-2207/2209 DS1,FST-2310,FST-2310-DS3,FST-2310-OC12,FST-2310-OC3,FST-2802 G,GigaStor,HCU1500,HST-3000 SIMs,HST-3000C,HST-3000C-CE,JMEP,Legacy Wireline Services,Location Intelligence Product,Location Intelligence Services,MAP Standalone Switches,"MAP-200 Chassis, Accessories & Software",Misc Hardware,MS-1200D,MTS-5100e,NC Ethernet TT,NetAnalyst Test Management Software,NI - Maintenance,NIMS,nTAPs,Observer,ONT-Jitter,ONX-580,Optical Switch Modules,ORS,OSA,OST,OTDR - FiberComplete modules,Other - Cable,Other - Solutions Classic,PacketPortal SW & Solutions,Passive Chassis,Passive Plug-ins,PathTrak,PI Product,Polatis Cross Connects,Probe Tips,PT Hardware,PT SART,PT SART Support,PT Services,QT-600-10,QT-600-2,RANAdvisor Product,RANAdvisor Services & Support,RCATS Product,Repair,Replacement Parts,RPM2000,RPM-3000,RSAM,SDA,SDA-5000,SDA-5500,SMART Handhelds,SmartClass ADSL,SmartClass E1,SmartClass Ethernet,SMARTClass Fiber,SmartClass HOME,SmartClass Triple Play,SmartID,SmartPocket Handhelds,"Source, EDFA & BBS Modules",Spare Parts,StrataSync,Support Plans,Swept Wavelength Systems,T3AS,TB/MTS 4000 Platform,TB/MTS 8000 Platform,TB/MTS-2000 Platform,TB/MTS-6000 Platform,TB-6000A Transport Module,T-BERD 8000,T-Berd/MTS-5800,Test Devices,Test Productivity Pack,TestPad 2000,TrueSpeed,Ultra FED,Volicon,VSA,VSE-1100,WiFi Smart Accessory,WR 10G Trans/Regen,WR 2.5G Trans/Regen,WR Amplification,WR Common,WS 10G Trans/Regen,WS 2.5G Trans/Regen,XGIG - Ethernet 10G,XGIG - FC 16G,XGIG - Other,XGIG 5k - SAS/SATA 12G,Grand Total
ANIXTER,0,17.83062624,20.35635743,0,28.95509406,17.00350715,29.03873959,7.972700959,22.27945076,17.9026145,15.88887327,12.15418775,12.32643261,0,0,16.18672209,23.95213983,13.22956184,0,0,27.52609309,26.22321429,0,11.00308842,10.92889612,12.60556741,15.89492427,17.80937092,11.60684738,7.841322866,2,0,10.52348207,5.100098457,12.78798379,15.95077765,5.100098457,6.9144262,13.0300435,14.64373651,0,0,0,0,11.79604368,5.217419046,11.78333476,11.78333476,11.79604368,19.50697618,14.87726358,0,15.39365216,15.89492427,0,14.57331056,0,16.783223,0,7,17.65088566,20.35635743,14.87726358,12.61272318,20.35635743,0,0,12.08009484,17.66165528,34,11.00308842,10.23850564,11.79604368,8,0,15.28905687,10.03529853,0,4.513046212,9.604677557,9.680944746,24.74417889,23.81074016,16.34041109,20.64446265,12.13048566,12.13048566,11.14270263,13.49165226,13.49661772,4.902020111,2,0,12.68838308,17.49850595,5.17008762,23.50986176,14.07558259,19.07466118,12.96179745,0,16.19178458,0,0,0,0,22.37294468,8,0,0,10.00232378,0,17.42293235,0,0,17.66165528,12.80075264,22.88304849,20.64837168,4.513046212,15.89492427,13.56974807,9.566421552,34,11.00308842,17.66165528,0,9.566421552,10.44748862,12.80075264,12.63687404,22.76942155,9.413754787,1470.368551
ARMSTRONG UTILITIES,7.78414056,8.948051948,10,10,10,10,10,0,0,0,7.484491736,10,0,4.930783242,10,7.518779343,10,10,10,7.323232323,0,10,0,6.158066268,6.506727496,4.990430622,4.685950413,10,6.174348112,10,6.158066268,4.696,10,10,8.945205479,8.429530201,10,10,10,0,0,6.956509016,6.629934876,7.555691018,10,0,4.685950413,4.685950413,10,10,0,10,9.374331551,4.685950413,0,0,0,10,0,10,4.916241062,10,0,8.429530201,10,0,0,10,6.158066268,10,6.158066268,5.276416036,10,10,7.366986155,10,10,0,10,0,0,10,9.377880184,9.211604096,0,4.685950413,4.685950413,5.886921193,5.274258071,5.876224537,5.8723722,5.531141406,6.174348112,6.166340509,10,4.691056911,7.056288032,0,0,3,0,10,0,5.093189964,4.766871166,10,8.428571429,0,0,0,10,7.679462572,10,7.090920112,7.28685259,6.158066268,8.428571429,6.18210183,7,10,4.685950413,3,8.428571429,10,6.158066268,6.158066268,0,8.428571429,8.945205479,8.428571429,7.971542647,10,7.013540961,824.4364575
ARRIS GROUP,0,3.479430745,4.590909091,5.650522521,4.06720267,2.564377876,3.757713317,3.562638387,2.386235955,4.06720267,3.142442039,4.066175929,4.329764454,0,5.635686291,1.905335489,3.047441963,3.382319173,0,0,6,3,0,3.435827539,2.645931757,6.078072237,2.919246208,3.783042724,2.372381583,3,2,6.791826064,7.113115553,0,2.5,8.526944799,0,3,3,1.596153846,0,4.076487642,3.750321176,2.934310909,4.06720267,4,2.305729211,2.305729211,4.06720267,4.071428571,1.571428571,0,3.451463536,2.919246208,0,1.603773585,0,4.267019976,0,3,2.868918321,4.590909091,1.571428571,3.570820975,4.590909091,5.274436549,0,3.376976745,2.421375206,3,3.435827539,2.229532001,4.06720267,0,3.504038103,6,2.56626506,0,0,0,3.715789474,3.220740765,3.956344767,3.379745264,3.115571468,2.887250391,2.887250391,2.450823159,2.313845667,2.186735364,2,2,8.941971889,2.568737244,3.387351086,2.339695554,5.434368053,4.185268575,4.6875,0,5.967497426,1.899835796,0,0,0,0,3.571922944,0,8.342292296,11,6,2.997573463,3.405363429,3.039224007,0,2.421375206,2.5,3.154361836,5.106993633,0,2.919246208,5.077753754,3.887205933,3,3.435827539,2.421375206,6.819943579,3.887205933,3.762818256,2.5,2.26991137,3.222989542,2.167455555,399.2950868
ASTER,8.22054117,8.370967742,0,0,0,6,6,0,6,0,8.428259922,0,0,8.014720155,0,8.514827995,6,6,0,8.203208556,0,0,0,7.513829548,7.521621329,7.889001009,7.513829548,6,7.079429735,0,7.513829548,7.079429735,0,0,12,9.386503067,0,0,0,0,0,8.485632575,8.381682422,8.272108783,0,0,8.52892562,8.52892562,0,0,0,0,12,7.513829548,0,0,0,0,0,0,7.700633028,0,0,12,0,6,0,6,7.513829548,0,7.513829548,7.735744089,0,0,8.068171701,0,6,0,0,0,0,6,12,12,9.084274127,7.513829548,7.513829548,7.554701324,7.513829548,7.930197269,8.324229269,7.513829548,7.920339201,8.536585366,0,7.521621329,9.638297872,0,0,6,0,0,0,0,7.455946076,0,12,0,0,0,0,7.893296291,0,7.898381151,8.403277196,7.513829548,12,8.551181102,12,0,7.513829548,6,12,0,7.513829548,7.513829548,0,12,12,12,7.085822527,0,8.448125545,597.8502236
ASTOUND BROADBAND,3.548794227,5,0,1,0,5,2.68,0,2.555555556,0,5,0,0,3.737034161,1,2.368408489,2.567567568,5,0,3.803125817,0,0,0,5,4.351174663,4.39636826,5,5,3.79374111,0,5,3.11268964,0,0,5,5,0,0,0,1,0,3.927247359,3.852904243,3.857047955,0,0,5,5,0,0,1,0,5,5,0,1,0,0,0,0,3.722328218,0,1,5,0,2.969230769,0,5,3.452840596,0,5,5,0,0,3.927915114,0,5,0,0,0,0,3.151724138,5,5,5,4.06629496,4.06629496,5,4.343818535,4.402886985,5,5,3.262269827,5,1,5,5,0,0,3.506584992,1,1,0,0,0,0,5,0,0,0,0,3.434393562,1,3.217851112,4.06080207,3.452840596,5,5,3.166666667,0,5,3.761158772,5,0,5,3.452840596,1,5,5,5,5,1,5,320.9704015
AT&T,0,8.873715393,2.533302336,4.508666414,3.167696477,3.340635499,2.409205015,5.325305254,10.22558948,2.987646964,4.919209893,3.941507328,5.928612885,5.704288467,4.38912317,6.476155425,0,7.612725926,3.58778626,0,3.016393443,12.45381906,5.410886578,3.247981453,3.709719895,6.994969453,3.194381353,6.558697012,6.09537649,3.59948947,3,7.51003952,8.155681891,16.8852459,5.143469594,6.391135655,16.8852459,3.939109824,7.719669827,3.874015748,5.293339357,0,7.790429194,0,3.704087291,6,2,2,3.704087291,2.347757371,3.892561983,3,5.085633517,3.194381353,0,3.868217054,0,4.106982902,0,1.952380952,5.946983146,2.533302336,3.892561983,3.507542795,2.533302336,6.030296874,0,6.109953613,3.360758974,2.465277778,3.247981453,3.230979754,3.704087291,3,0,3.909781387,3.640958842,0,4.369124742,8.388039186,4.174185955,0,3.699444256,0,0,3.313950501,3.313950501,4.129540381,5.387003583,6.494436143,4.438016529,3,7.209550725,7.029460709,5.104953351,3.011494253,5.698860117,0,6.111357261,2.756606398,5.22546758,3.247981453,0,5.973605675,5.995432059,3,6.668101406,0,6.528935927,7.577922293,3.210810811,5.810169298,5.455041681,0,0,3.360758974,4.998596984,6.183960226,7.449330219,4.369124742,3.194381353,3.957446809,3.716560577,2.465277778,3.247981453,3.360758974,5.195600115,3.716560577,4.89324493,4.998596984,3.066566288,4.057766534,5.143469594,558.469553
AT&T (ARIBA),5.607932968,4.555503261,4,4.917361399,6.183847933,6.615711253,5.784615385,0,4.309685921,6.87755102,5.194156542,2.731620903,3.910294016,3.25,3.406919109,4.006556719,4.725629507,7.330795506,8.918324607,5.212409664,0,4,4.887111723,8.76650201,7.136558293,4.396226415,6.535011355,4.600081574,4.65653951,4,4,3.513788714,5.751049462,4,2.438529785,5.915154528,4,5.546702923,4.497237569,4.53164557,4.420229644,5.33763264,5.399633938,5.321386389,2.561240833,0,0,0,2.561240833,4,4.410958904,4,3.506879881,6.535011355,2,4.567901235,0,2.692013826,0,4,0,4,4.410958904,4.871287129,4,4.031059874,0,3.914915595,4.342577488,4,8.76650201,3.597866647,2.561240833,4,5.390261822,0,0,5.75,0,6.850612923,6.556483027,0,3.246760004,3.251184138,0,8.111111111,8.111111111,6.106829987,2.440317632,7.81024407,6.483343665,4,2.282499017,4.497237569,3.609647841,2.590837254,6.426908026,4.078866892,6.912621359,6.245127359,4.573913043,6.183847933,0,5.149290907,6.154037267,4,6.183847933,4,6.120141343,0,4,0,5.503814785,0,5.450255036,4.342577488,2.292521821,7.582089552,5.428571429,0,6.535011355,5.139150943,4.076541592,4,8.76650201,4.342577488,3.641482889,4.076541592,4.235643031,2.292521821,6.497788263,3.228381729,2.438529785,551.5091789
AT&T/NEW HORIZONS,0,295.1747909,29.32825384,0,91.94415579,91.2386266,58.9149349,0,428.7022163,61.51801892,243.9182367,337.4979963,223.9073136,205.1965924,111.8111867,221.9046396,354.7796793,228.7673938,96,0,22.09026798,521.0778417,0,224.7816621,237.6487686,245.2013692,229.5208608,284.6731929,168.8011138,45.88684302,75.04761905,162.4772821,237.9790327,420.9251006,334.5762745,214.9372497,420.9251006,92.45246726,179.9194365,220.3271041,201.2005367,0,0,0,337.3008138,191.0126857,144.9051095,144.9051095,337.3008138,34.64366575,225.13543,96,212.4877688,229.5208608,329,218.8852371,0,306.0433728,0,54.61904762,0,29.32825384,225.13543,146.0664961,29.32825384,246.8272055,0,177.1049442,213.9139896,167.6527778,224.7816621,229.6156425,337.3008138,68.05645161,0,249.1230764,186.3574051,0,209.5551786,394.8120808,248.66172,210.1061513,134.086778,284.4173991,0,241.9953087,241.9953087,232.0733015,280.8013081,242.3674065,203.8628381,68.38938053,165.5593498,178.5850707,346.414905,137.6733747,267.5548361,0,0,0,0,104.4048405,0,212.7908811,242.770252,96,297.8092391,51,0,339.5819346,81.14358174,0,241.648333,0,0,213.9139896,343.3357938,310.0017946,0,209.5551786,229.5208608,291.9202894,0,167.6527778,224.7816621,213.9139896,0,0,0,343.3357938,88.01324981,191.5085941,320.5813847,21917.50159
AT&T/SBC,30.48553619,41.32130131,53.47619048,32.71077324,26.3907894,51.16611818,27.160396,0,67.6875,10.3722177,42.60104216,45.35512678,37.86002428,25.53716902,40.25846684,41.68561275,51.60448842,65.18847132,98,0,0,81.39462153,46.73788742,26.3907894,45.71115633,34.72489488,10.53257409,39.17715733,39.16557323,44.6917586,98,43.31924596,0,40.41418764,68.37463839,0,40.41418764,17.6409457,0,8.401574803,41.09636051,0,44.20020329,0,45.35805076,11.10903427,5,5,45.35805076,53.47619048,8.371900826,98,47.96215072,10.53257409,0,8.410852713,0,45.96785612,0,53.47619048,26.22325569,53.47619048,8.371900826,26.30815638,53.47619048,34.4963423,0,45.35805076,26.26724729,48.27083333,26.3907894,27.84643597,45.35805076,98,34.99979171,21.08133317,21.67963019,0,17.23586393,34.93359717,16.86328681,47.74171259,41.03220909,42.10226803,0,7.341012246,7.341012246,50.35963637,35.61287426,60.77874262,53.4214876,98,39.3704137,0,38.12122761,9.781609195,30.93655785,32.91603927,39.16980738,20.44522396,28.53784679,26.3907894,0,42.26536538,28.67458848,98,30.07826541,0,31.25603414,42.02538239,48.73684211,32.92849611,28.28084979,0,0,26.26724729,63.21072089,14.47913182,0,17.23586393,10.53257409,5,28.02777009,48.27083333,26.3907894,26.26724729,29.22493962,28.02777009,0,63.21072089,66.8117071,61.32527597,68.37463839,4338.212303
AUSOPTIC,0,14.06497957,11.97704573,13.71592028,13.9302102,11.3451079,0,11.10791367,20,14.27214806,14.06122449,14.2680898,17.77301927,12.00777398,13.14015418,14.32520027,15.21240126,13.92509212,0,0,16.44262295,16,12.7990645,11.10948905,12.77570093,13.92264039,13.9302102,10.63473783,13.92509212,6,0,14.47313588,7.28529904,0,6,9.881259061,0,6,11.10791367,6,13.4156259,12.48645551,13.03596111,12.81843863,14.27214806,0,16,16,14.27214806,11.27399713,6,0,9.211492978,13.9302102,0,6,0,15.83448838,0,6,13.09559277,11.97704573,6,13.92761436,11.97704573,13.45592384,0,13.9302102,12.45930132,16,11.10948905,11.95457505,14.27214806,0,0,20,11.35254039,0,0,0,7.920792079,13.94141026,12.16443784,11.34859426,13.68062217,11.05455712,11.05455712,9.020986359,12.31485524,13.55442533,0,0,13.002322,12.79425837,14.78194513,6,0,18.07751938,10.11764706,9.864661654,14.4215495,11.10948905,0,13.74626672,13.66282247,0,7.29261004,0,16.52280882,6,20,13.12362915,11.33897715,12.84652869,0,12.45930132,6,14.33562424,11.28862104,0,13.9302102,16,13.9302102,16,11.10948905,12.45930132,14.86218404,13.9302102,13.00731459,6,11.35943449,12.03998824,6,1320.946061
AVAGO TECHNOLOGIES,0,149.2202782,0,0,135.3985819,19.34631691,0,19.6875,390,78.82765034,122.4711879,168.7634171,390,96.89962294,0,71.49543773,190.5384257,106.8574401,44,0,80.30606488,44,95.19482861,38.23809524,19.56086957,56.60374462,160.6101142,142.6079389,135.2158412,27.15167828,44,81.17250422,27.90719353,44,29.74495832,135.3059439,44,18.45610278,38.24161074,33,92.24966151,119.6685352,120.6255994,102.336796,168.9604247,0,0,0,168.9604247,0,33,44,67.83829265,160.6101142,0,33,0,195.5168792,0,64.56403941,111.0480295,0,33,135.3059439,0,159.9827586,0,135.3985819,49.01257286,44,38.23809524,41.46838385,168.9604247,44,0,104.1415004,24.2240471,0,44,0,0,112.9892103,98.12381583,48.66281542,0,12.48275862,12.48275862,36.29268293,49.84967026,54.73012972,26.79661017,44,53.03320128,38.24161074,179.4495064,17.72727273,142.3332493,218.826087,390,0,121.5179745,28.19189765,0,113.293969,122.8702163,44,135.3985819,0,164.661489,18.6,91.55236618,112.0453775,123.1276189,128.7274974,123.3590117,49.01257286,28.19189765,135.1281717,132.5216435,44,160.6101142,9,70.94551177,44,38.23809524,49.01257286,74.04318831,70.94551177,65.86643557,28.19189765,27.45529895,0,29.74495832,9703.209703
