"","user","item","rating"
"12925","3 RIVERS COMMUNICATIONS","RANAdvisor Product",3.2654493667667
"13126","3 RIVERS COMMUNICATIONS","RANAdvisor Services & Support",3.30730280184539
"13335","3 RIVERS COMMUNICATIONS","RCATS Product",3.30247986100142
"13563","3 RIVERS COMMUNICATIONS","Repair",3.38608427191127
"13721","3 RIVERS COMMUNICATIONS","Replacement Parts",4
"13914","3 RIVERS COMMUNICATIONS","RPM-3000",2
"14112","3 RIVERS COMMUNICATIONS","RPM2000",4
"14305","3 RIVERS COMMUNICATIONS","RSAM",3.15740561471442
"14524","3 RIVERS COMMUNICATIONS","SDA",3.30384587632585
"15035","3 RIVERS COMMUNICATIONS","SMART Handhelds",3.47303489601692
"15252","3 RIVERS COMMUNICATIONS","SmartClass ADSL",4
"15460","3 RIVERS COMMUNICATIONS","SmartClass E1",3.4802969731582
"15823","3 RIVERS COMMUNICATIONS","SMARTClass Fiber",3.30199592668024
"16047","3 RIVERS COMMUNICATIONS","SmartClass HOME",4
"16193","3 RIVERS COMMUNICATIONS","SmartClass Triple Play",4
"16323","3 RIVERS COMMUNICATIONS","SmartID",4
"16474","3 RIVERS COMMUNICATIONS","SmartPocket Handhelds",3.40615785993817
"16646","3 RIVERS COMMUNICATIONS","Source, EDFA & BBS Modules",4
"16818","3 RIVERS COMMUNICATIONS","StrataSync",3.26683638046748
"16997","3 RIVERS COMMUNICATIONS","Support Plans",3.37915742793792
"17249","3 RIVERS COMMUNICATIONS","T-BERD 8000",3.49444444444444
"17424","3 RIVERS COMMUNICATIONS","T-Berd/MTS-5800",3.41644750724384
"17595","3 RIVERS COMMUNICATIONS","T3AS",3.30149655288381
"17809","3 RIVERS COMMUNICATIONS","TB-6000A Transport Module",3.45700006490556
"18130","3 RIVERS COMMUNICATIONS","TB/MTS-6000 Platform",4
"18318","3 RIVERS COMMUNICATIONS","TB/MTS 8000 Platform",3.34392619169657
"18633","3 RIVERS COMMUNICATIONS","Test Productivity Pack",3.30149655288381
"19051","3 RIVERS COMMUNICATIONS","TrueSpeed",3.47303489601692
"19264","3 RIVERS COMMUNICATIONS","Ultra FED",3.24803591470258
"19596","3 RIVERS COMMUNICATIONS","VSA",3.30149655288381
"19790","3 RIVERS COMMUNICATIONS","VSE-1100",4
"19960","3 RIVERS COMMUNICATIONS","WiFi Smart Accessory",3.30149655288381
"20176","3 RIVERS COMMUNICATIONS","WR 10G Trans/Regen",4
"20292","3 RIVERS COMMUNICATIONS","WR 2.5G Trans/Regen",4
"20504","3 RIVERS COMMUNICATIONS","WR Amplification",3.30149655288381
"20724","3 RIVERS COMMUNICATIONS","WR Common",3.30199592668024
"20882","3 RIVERS COMMUNICATIONS","WS 10G Trans/Regen",3.30149655288381
"21098","3 RIVERS COMMUNICATIONS","WS 2.5G Trans/Regen",3.4721770663999
"21512","3 RIVERS COMMUNICATIONS","XGIG - FC 16G",2.94736842105263
"21714","3 RIVERS COMMUNICATIONS","XGIG - Other",3.30427470217239
"1","ACELA TECHNOLOGIES","Accessories",2.49421345906558
"174","ACELA TECHNOLOGIES","ACE",3
"386","ACELA TECHNOLOGIES","Advanced Signal Conditioning Modules",3
"536","ACELA TECHNOLOGIES","Analog Inspection & Test",3
"720","ACELA TECHNOLOGIES","ANT-5",3
"898","ACELA TECHNOLOGIES","Attenuators & Backreflector Modules",1.50485436893204
"1097","ACELA TECHNOLOGIES","Benchtop Inspection",3
"1734","ACELA TECHNOLOGIES","Calibrations",3
"1941","ACELA TECHNOLOGIES","CapacityAdvisor Held",1.51428571428571
"2142","ACELA TECHNOLOGIES","CellAdvisor",1
"2504","ACELA TECHNOLOGIES","CleanBlast",3
"2678","ACELA TECHNOLOGIES","Common Product",3
"2892","ACELA TECHNOLOGIES","Converged Assurance Support",1.51428571428571
"3114","ACELA TECHNOLOGIES","CT-650",2.04347826086957
"3335","ACELA TECHNOLOGIES","CT-650SM",1.82442748091603
"3429","ACELA TECHNOLOGIES","Digital Inspection & Test",2.52417205938333
"3676","ACELA TECHNOLOGIES","Dispersion modules",3
"3810","ACELA TECHNOLOGIES","DSAM",3
"4163","ACELA TECHNOLOGIES","DSAM 2300/3300",3
"4375","ACELA TECHNOLOGIES","DSAM Upgrades",3
"4773","ACELA TECHNOLOGIES","EA Support",1.84671532846715
"4995","ACELA TECHNOLOGIES","Education",1.52336448598131
"5226","ACELA TECHNOLOGIES","Ethernet Network Management Tools",3
"5371","ACELA TECHNOLOGIES","Extended Warranty",3
"5500","ACELA TECHNOLOGIES","FIT Generic",1
"5715","ACELA TECHNOLOGIES","FST-2000",3
"5892","ACELA TECHNOLOGIES","FST-2207/2209 DS1",3
"6024","ACELA TECHNOLOGIES","FST-2310",3
"6222","ACELA TECHNOLOGIES","FST-2310-DS3",3
"6438","ACELA TECHNOLOGIES","FST-2310-OC12",3
"6570","ACELA TECHNOLOGIES","FST-2310-OC3",3
"6741","ACELA TECHNOLOGIES","FST-2802 G",3
"7021","ACELA TECHNOLOGIES","HCU1500",3
"7193","ACELA TECHNOLOGIES","HST-3000 SIMs",3
"7382","ACELA TECHNOLOGIES","HST-3000C",3
"7565","ACELA TECHNOLOGIES","HST-3000C-CE",3
"7742","ACELA TECHNOLOGIES","JMEP",3
"8283","ACELA TECHNOLOGIES","MAP-200 Chassis, Accessories & Software",3
"8432","ACELA TECHNOLOGIES","MAP Standalone Switches",3
"8727","ACELA TECHNOLOGIES","MS-1200D",3
"8804","ACELA TECHNOLOGIES","MTS-5100e",1.85294117647059
"9347","ACELA TECHNOLOGIES","nTAPs",3
"9542","ACELA TECHNOLOGIES","ONT-Jitter",3
"9854","ACELA TECHNOLOGIES","Optical Switch Modules",3
"10110","ACELA TECHNOLOGIES","OSA",1.51428571428571
"10336","ACELA TECHNOLOGIES","OST",3
"10674","ACELA TECHNOLOGIES","Other - Solutions Classic",1.50485436893204
"10897","ACELA TECHNOLOGIES","PacketPortal SW & Solutions",3
"11117","ACELA TECHNOLOGIES","Passive Chassis",3
"11233","ACELA TECHNOLOGIES","Passive Plug-ins",3
"11445","ACELA TECHNOLOGIES","PathTrak",3
"11645","ACELA TECHNOLOGIES","PI Product",3
"11834","ACELA TECHNOLOGIES","Polatis Cross Connects",3
"11940","ACELA TECHNOLOGIES","Probe Tips",2.41414141414141
"12117","ACELA TECHNOLOGIES","PT Hardware",2.06508875739645
"12302","ACELA TECHNOLOGIES","PT SART",1.51428571428571
"12513","ACELA TECHNOLOGIES","PT Services",1.50485436893204
"13127","ACELA TECHNOLOGIES","RANAdvisor Services & Support",1.13953488372093
"13336","ACELA TECHNOLOGIES","RCATS Product",2.04347826086957
"13915","ACELA TECHNOLOGIES","RPM-3000",3
"14306","ACELA TECHNOLOGIES","RSAM",3
"14525","ACELA TECHNOLOGIES","SDA",3
"14739","ACELA TECHNOLOGIES","SDA-5000",3
"14908","ACELA TECHNOLOGIES","SDA-5500",3
"15036","ACELA TECHNOLOGIES","SMART Handhelds",3
"15253","ACELA TECHNOLOGIES","SmartClass ADSL",3
"15461","ACELA TECHNOLOGIES","SmartClass E1",3
"15824","ACELA TECHNOLOGIES","SMARTClass Fiber",3
"16647","ACELA TECHNOLOGIES","Source, EDFA & BBS Modules",3
"16819","ACELA TECHNOLOGIES","StrataSync",3
"17173","ACELA TECHNOLOGIES","Swept Wavelength Systems",3
"17250","ACELA TECHNOLOGIES","T-BERD 8000",3
"17425","ACELA TECHNOLOGIES","T-Berd/MTS-5800",3
"17596","ACELA TECHNOLOGIES","T3AS",3
"17810","ACELA TECHNOLOGIES","TB-6000A Transport Module",3
"18131","ACELA TECHNOLOGIES","TB/MTS-6000 Platform",3
"18465","ACELA TECHNOLOGIES","Test Devices",2.53982300884956
"18634","ACELA TECHNOLOGIES","Test Productivity Pack",3
"18853","ACELA TECHNOLOGIES","TestPad 2000",3
"19052","ACELA TECHNOLOGIES","TrueSpeed",3
"19453","ACELA TECHNOLOGIES","Volicon",1.50485436893204
"19961","ACELA TECHNOLOGIES","WiFi Smart Accessory",3
"20177","ACELA TECHNOLOGIES","WR 10G Trans/Regen",3
"20293","ACELA TECHNOLOGIES","WR 2.5G Trans/Regen",3
"20505","ACELA TECHNOLOGIES","WR Amplification",3
"20883","ACELA TECHNOLOGIES","WS 10G Trans/Regen",3
"21099","ACELA TECHNOLOGIES","WS 2.5G Trans/Regen",3
"21314","ACELA TECHNOLOGIES","XGIG - Ethernet 10G",3
"21513","ACELA TECHNOLOGIES","XGIG - FC 16G",2.2020725388601
"21715","ACELA TECHNOLOGIES","XGIG - Other",2.54838709677419
"21911","ACELA TECHNOLOGIES","XGIG 5k - SAS/SATA 12G",3
"537","AERO COMMUNICATIONS","Analog Inspection & Test",4
"721","AERO COMMUNICATIONS","ANT-5",1
"1281","AERO COMMUNICATIONS","BrightJack",1
"1735","AERO COMMUNICATIONS","Calibrations",2.22222222222222
"2307","AERO COMMUNICATIONS","Certifier",4
"3811","AERO COMMUNICATIONS","DSAM",4
"3963","AERO COMMUNICATIONS","DSAM-6300",4
"4164","AERO COMMUNICATIONS","DSAM 2300/3300",4
"4376","AERO COMMUNICATIONS","DSAM Upgrades",4
"5372","AERO COMMUNICATIONS","Extended Warranty",4
"7022","AERO COMMUNICATIONS","HCU1500",4
"7931","AERO COMMUNICATIONS","Legacy Wireline Services",4
"8805","AERO COMMUNICATIONS","MTS-5100e",4
"9667","AERO COMMUNICATIONS","ONX-580",4
"10898","AERO COMMUNICATIONS","PacketPortal SW & Solutions",4
"11234","AERO COMMUNICATIONS","Passive Plug-ins",4
"11446","AERO COMMUNICATIONS","PathTrak",4
"12772","AERO COMMUNICATIONS","QT-600-2",4
"13564","AERO COMMUNICATIONS","Repair",4
"13722","AERO COMMUNICATIONS","Replacement Parts",4
"13916","AERO COMMUNICATIONS","RPM-3000",4
"14113","AERO COMMUNICATIONS","RPM2000",4
"14307","AERO COMMUNICATIONS","RSAM",4
"14526","AERO COMMUNICATIONS","SDA",4
"14909","AERO COMMUNICATIONS","SDA-5500",4
"15655","AERO COMMUNICATIONS","SmartClass Ethernet",4
"16820","AERO COMMUNICATIONS","StrataSync",4
"16998","AERO COMMUNICATIONS","Support Plans",4
"18635","AERO COMMUNICATIONS","Test Productivity Pack",4
"19791","AERO COMMUNICATIONS","VSE-1100",4
"20294","AERO COMMUNICATIONS","WR 2.5G Trans/Regen",4
"20506","AERO COMMUNICATIONS","WR Amplification",4
"2","ALCATEL-LUCENT","Accessories",3.87848032520075
"175","ALCATEL-LUCENT","ACE",3.57716501959265
"387","ALCATEL-LUCENT","Advanced Signal Conditioning Modules",3.20386375190646
"538","ALCATEL-LUCENT","Analog Inspection & Test",3.32974828924962
"722","ALCATEL-LUCENT","ANT-5",3.92327534163877
"1282","ALCATEL-LUCENT","BrightJack",2.32660300136426
"1440","ALCATEL-LUCENT","CA product",2
"1603","ALCATEL-LUCENT","Calibration Plan",2.95620437956204
"1736","ALCATEL-LUCENT","Calibrations",3.77476213505512
"1942","ALCATEL-LUCENT","CapacityAdvisor Held",11.4789051538502
"2143","ALCATEL-LUCENT","CellAdvisor",13.1764705882353
"2308","ALCATEL-LUCENT","Certifier",2.79931684266116
"2505","ALCATEL-LUCENT","CleanBlast",3.49632766246172
"2679","ALCATEL-LUCENT","Common Product",3.68958400608049
"2893","ALCATEL-LUCENT","Converged Assurance Support",8.63704009403084
"3115","ALCATEL-LUCENT","CT-650",8.08928497699526
"3336","ALCATEL-LUCENT","CT-650SM",14.2290076335878
"3594","ALCATEL-LUCENT","Direct View FM",4
"3677","ALCATEL-LUCENT","Dispersion modules",3.32638888888889
"3812","ALCATEL-LUCENT","DSAM",3.14508349968635
"3964","ALCATEL-LUCENT","DSAM-6300",2.52980523313004
"4165","ALCATEL-LUCENT","DSAM 2300/3300",3.2303328855053
"4377","ALCATEL-LUCENT","DSAM Upgrades",2.89299849600253
"4579","ALCATEL-LUCENT","DTS",2.89301186664155
"4774","ALCATEL-LUCENT","EA Support",6.16826053098231
"4996","ALCATEL-LUCENT","Education",7.48266955880568
"5227","ALCATEL-LUCENT","Ethernet Network Management Tools",5.79132791327913
"5373","ALCATEL-LUCENT","Extended Warranty",3.45454545454546
"5501","ALCATEL-LUCENT","FIT Generic",6.25031696775685
"5716","ALCATEL-LUCENT","FST-2000",4.25888644227745
"5893","ALCATEL-LUCENT","FST-2207/2209 DS1",6
"6025","ALCATEL-LUCENT","FST-2310",5.64840182648402
"6223","ALCATEL-LUCENT","FST-2310-DS3",3.35762421352498
"6439","ALCATEL-LUCENT","FST-2310-OC12",6
"6571","ALCATEL-LUCENT","FST-2310-OC3",5.47682119205298
"6742","ALCATEL-LUCENT","FST-2802 G",3.89444798978941
"6916","ALCATEL-LUCENT","GigaStor",5
"7023","ALCATEL-LUCENT","HCU1500",2.73255400667329
"7194","ALCATEL-LUCENT","HST-3000 SIMs",3.47748051362979
"7383","ALCATEL-LUCENT","HST-3000C",3.3615504904753
"7566","ALCATEL-LUCENT","HST-3000C-CE",3.6015561733844
"7743","ALCATEL-LUCENT","JMEP",3.8929719797887
"7932","ALCATEL-LUCENT","Legacy Wireline Services",2
"8041","ALCATEL-LUCENT","Location Intelligence Product",1
"8162","ALCATEL-LUCENT","Location Intelligence Services",1
"8284","ALCATEL-LUCENT","MAP-200 Chassis, Accessories & Software",3.71388036365742
"8433","ALCATEL-LUCENT","MAP Standalone Switches",3.8929719797887
"8621","ALCATEL-LUCENT","Misc Hardware",5
"8728","ALCATEL-LUCENT","MS-1200D",6
"8806","ALCATEL-LUCENT","MTS-5100e",7.14297065594341
"9024","ALCATEL-LUCENT","NC Ethernet TT",2.89301186664155
"9238","ALCATEL-LUCENT","NI - Maintenance",5
"9348","ALCATEL-LUCENT","nTAPs",3.66906474820144
"9543","ALCATEL-LUCENT","ONT-Jitter",5.47619047619048
"9668","ALCATEL-LUCENT","ONX-580",3.03924582305272
"9855","ALCATEL-LUCENT","Optical Switch Modules",3.20386375190646
"10003","ALCATEL-LUCENT","ORS",5
"10111","ALCATEL-LUCENT","OSA",10.1888881096695
"10337","ALCATEL-LUCENT","OST",3.20386375190646
"10486","ALCATEL-LUCENT","OTDR - FiberComplete modules",3.16124565016689
"10675","ALCATEL-LUCENT","Other - Solutions Classic",8.70967795354151
"10899","ALCATEL-LUCENT","PacketPortal SW & Solutions",2.78570027296829
"11118","ALCATEL-LUCENT","Passive Chassis",3.32638888888889
"11235","ALCATEL-LUCENT","Passive Plug-ins",3.2303328855053
"11447","ALCATEL-LUCENT","PathTrak",3.25016638127492
"11646","ALCATEL-LUCENT","PI Product",3.8929719797887
"11835","ALCATEL-LUCENT","Polatis Cross Connects",6
"12118","ALCATEL-LUCENT","PT Hardware",3.85818561001043
"12508","ALCATEL-LUCENT","PT SART Support",2
"12514","ALCATEL-LUCENT","PT Services",3.93422760709649
"12773","ALCATEL-LUCENT","QT-600-2",1
"13128","ALCATEL-LUCENT","RANAdvisor Services & Support",15.9475792691069
"13337","ALCATEL-LUCENT","RCATS Product",8.37874388612152
"13723","ALCATEL-LUCENT","Replacement Parts",2.34335251203633
"13917","ALCATEL-LUCENT","RPM-3000",3.76349468931251
"14114","ALCATEL-LUCENT","RPM2000",2.34335251203633
"14308","ALCATEL-LUCENT","RSAM",2.75542199907093
"14527","ALCATEL-LUCENT","SDA",3.06933985330073
"14740","ALCATEL-LUCENT","SDA-5000",3.37216828478964
"14910","ALCATEL-LUCENT","SDA-5500",2.88
"15037","ALCATEL-LUCENT","SMART Handhelds",3.57142244710491
"15254","ALCATEL-LUCENT","SmartClass ADSL",3.12208556911534
"15462","ALCATEL-LUCENT","SmartClass E1",3.31920374342382
"15656","ALCATEL-LUCENT","SmartClass Ethernet",3.6875
"15825","ALCATEL-LUCENT","SMARTClass Fiber",3.33364317702935
"16048","ALCATEL-LUCENT","SmartClass HOME",1
"16324","ALCATEL-LUCENT","SmartID",1.54183266932271
"16475","ALCATEL-LUCENT","SmartPocket Handhelds",3.14753379740843
"16648","ALCATEL-LUCENT","Source, EDFA & BBS Modules",3.8929719797887
"16999","ALCATEL-LUCENT","Support Plans",2.92344117115489
"17174","ALCATEL-LUCENT","Swept Wavelength Systems",6
"17251","ALCATEL-LUCENT","T-BERD 8000",3.80490322884023
"17426","ALCATEL-LUCENT","T-Berd/MTS-5800",3.4820406714512
"17597","ALCATEL-LUCENT","T3AS",3.92327534163877
"17811","ALCATEL-LUCENT","TB-6000A Transport Module",3.69600439306114
"17985","ALCATEL-LUCENT","TB/MTS-2000 Platform",3.36363636363636
"18132","ALCATEL-LUCENT","TB/MTS-6000 Platform",6
"18319","ALCATEL-LUCENT","TB/MTS 8000 Platform",2.57894736842105
"18636","ALCATEL-LUCENT","Test Productivity Pack",2.78570027296829
"18854","ALCATEL-LUCENT","TestPad 2000",5.47619047619048
"19053","ALCATEL-LUCENT","TrueSpeed",3.32085807845374
"19265","ALCATEL-LUCENT","Ultra FED",3.16778523489933
"19454","ALCATEL-LUCENT","Volicon",3.93422760709649
"19597","ALCATEL-LUCENT","VSA",2.89301186664155
"19792","ALCATEL-LUCENT","VSE-1100",1.52405063291139
"19962","ALCATEL-LUCENT","WiFi Smart Accessory",3.92327534163877
"20178","ALCATEL-LUCENT","WR 10G Trans/Regen",3.32638888888889
"20295","ALCATEL-LUCENT","WR 2.5G Trans/Regen",3.2303328855053
"20507","ALCATEL-LUCENT","WR Amplification",2.78570027296829
"20725","ALCATEL-LUCENT","WR Common",2.37170680810364
"20884","ALCATEL-LUCENT","WS 10G Trans/Regen",3.92327534163877
"21100","ALCATEL-LUCENT","WS 2.5G Trans/Regen",3.91038009483455
"21315","ALCATEL-LUCENT","XGIG - Ethernet 10G",5.47619047619048
"21716","ALCATEL-LUCENT","XGIG - Other",4.80143688732675
"21912","ALCATEL-LUCENT","XGIG 5k - SAS/SATA 12G",1.79468423091825
"1737","ALTEA COMMUNICATIONS","Calibrations",1
"1943","ALTEA COMMUNICATIONS","CapacityAdvisor Held",1
"2144","ALTEA COMMUNICATIONS","CellAdvisor",1
"2680","ALTEA COMMUNICATIONS","Common Product",1
"7744","ALTEA COMMUNICATIONS","JMEP",1
"8434","ALTEA COMMUNICATIONS","MAP Standalone Switches",1
"8622","ALTEA COMMUNICATIONS","Misc Hardware",3
"9239","ALTEA COMMUNICATIONS","NI - Maintenance",2.33333333333333
"9341","ALTEA COMMUNICATIONS","NIMS",3
"9536","ALTEA COMMUNICATIONS","Observer",2.09090909090909
"10004","ALTEA COMMUNICATIONS","ORS",3
"11647","ALTEA COMMUNICATIONS","PI Product",1
"12119","ALTEA COMMUNICATIONS","PT Hardware",1
"12656","ALTEA COMMUNICATIONS","QT-600-10",1
"15463","ALTEA COMMUNICATIONS","SmartClass E1",1
"16049","ALTEA COMMUNICATIONS","SmartClass HOME",1
"17986","ALTEA COMMUNICATIONS","TB/MTS-2000 Platform",1
"3","AMERICA MOVIL","Accessories",13.0025785438013
"176","AMERICA MOVIL","ACE",12.4298642533937
"539","AMERICA MOVIL","Analog Inspection & Test",15
"723","AMERICA MOVIL","ANT-5",15
"899","AMERICA MOVIL","Attenuators & Backreflector Modules",15
"1098","AMERICA MOVIL","Benchtop Inspection",15.2380952380952
"1283","AMERICA MOVIL","BrightJack",5.16867469879518
"1604","AMERICA MOVIL","Calibration Plan",15
"1738","AMERICA MOVIL","Calibrations",11.9696202531646
"1944","AMERICA MOVIL","CapacityAdvisor Held",15
"2145","AMERICA MOVIL","CellAdvisor",15
"2309","AMERICA MOVIL","Certifier",11.3506917401783
"2506","AMERICA MOVIL","CleanBlast",15
"2681","AMERICA MOVIL","Common Product",10.3345724907063
"2894","AMERICA MOVIL","Converged Assurance Support",15
"3116","AMERICA MOVIL","CT-650",15
"3430","AMERICA MOVIL","Digital Inspection & Test",12.7172054859798
"3678","AMERICA MOVIL","Dispersion modules",15
"3965","AMERICA MOVIL","DSAM-6300",8.33191489361702
"4166","AMERICA MOVIL","DSAM 2300/3300",13.3991601201897
"4378","AMERICA MOVIL","DSAM Upgrades",12.4684429902394
"4580","AMERICA MOVIL","DTS",9.84747794810311
"4775","AMERICA MOVIL","EA Support",5.8314606741573
"4997","AMERICA MOVIL","Education",9.85314685314685
"5374","AMERICA MOVIL","Extended Warranty",7.57851239669422
"5502","AMERICA MOVIL","FIT Generic",11.0882717579965
"5717","AMERICA MOVIL","FST-2000",7.72131147540984
"6026","AMERICA MOVIL","FST-2310",7
"6224","AMERICA MOVIL","FST-2310-DS3",5.0126932465419
"6743","AMERICA MOVIL","FST-2802 G",3.32200357781753
"7195","AMERICA MOVIL","HST-3000 SIMs",11.8531372043217
"7384","AMERICA MOVIL","HST-3000C",11.5154735170551
"7567","AMERICA MOVIL","HST-3000C-CE",11.4062334735922
"7745","AMERICA MOVIL","JMEP",15
"7933","AMERICA MOVIL","Legacy Wireline Services",16
"8435","AMERICA MOVIL","MAP Standalone Switches",15
"8807","AMERICA MOVIL","MTS-5100e",12.4311926605505
"9025","AMERICA MOVIL","NC Ethernet TT",9.84747794810311
"9349","AMERICA MOVIL","nTAPs",15
"9669","AMERICA MOVIL","ONX-580",12.4062871955153
"10112","AMERICA MOVIL","OSA",11.0863309352518
"10487","AMERICA MOVIL","OTDR - FiberComplete modules",15
"10659","AMERICA MOVIL","Other - Cable",16
"10676","AMERICA MOVIL","Other - Solutions Classic",15
"10900","AMERICA MOVIL","PacketPortal SW & Solutions",13.3991601201897
"11119","AMERICA MOVIL","Passive Chassis",15
"11236","AMERICA MOVIL","Passive Plug-ins",13.3991601201897
"11648","AMERICA MOVIL","PI Product",15
"11941","AMERICA MOVIL","Probe Tips",12.8385721369866
"12303","AMERICA MOVIL","PT SART",15
"12657","AMERICA MOVIL","QT-600-10",3
"12774","AMERICA MOVIL","QT-600-2",15.5573770491803
"12926","AMERICA MOVIL","RANAdvisor Product",15
"13129","AMERICA MOVIL","RANAdvisor Services & Support",13.0884955752212
"13338","AMERICA MOVIL","RCATS Product",11.0851063829787
"13565","AMERICA MOVIL","Repair",11.1166025050543
"13724","AMERICA MOVIL","Replacement Parts",13.3991601201897
"13918","AMERICA MOVIL","RPM-3000",13.3566361673692
"14115","AMERICA MOVIL","RPM2000",13.3991601201897
"14309","AMERICA MOVIL","RSAM",12.5414273995078
"14528","AMERICA MOVIL","SDA",11.5325541650587
"14741","AMERICA MOVIL","SDA-5000",9.38922942206655
"14911","AMERICA MOVIL","SDA-5500",7.57851239669421
"15038","AMERICA MOVIL","SMART Handhelds",12.1289293849658
"15464","AMERICA MOVIL","SmartClass E1",15
"15657","AMERICA MOVIL","SmartClass Ethernet",13.0713780918728
"15826","AMERICA MOVIL","SMARTClass Fiber",12.3368755053733
"16050","AMERICA MOVIL","SmartClass HOME",15
"16194","AMERICA MOVIL","SmartClass Triple Play",3
"16325","AMERICA MOVIL","SmartID",11.4543761638734
"16476","AMERICA MOVIL","SmartPocket Handhelds",15
"16649","AMERICA MOVIL","Source, EDFA & BBS Modules",15
"16815","AMERICA MOVIL","Spare Parts",3
"16821","AMERICA MOVIL","StrataSync",9.00204834084392
"17000","AMERICA MOVIL","Support Plans",10.752376188094
"17252","AMERICA MOVIL","T-BERD 8000",15
"17427","AMERICA MOVIL","T-Berd/MTS-5800",12.1031202989275
"17598","AMERICA MOVIL","T3AS",11.0875912408759
"17812","AMERICA MOVIL","TB-6000A Transport Module",11.7580737137338
"17987","AMERICA MOVIL","TB/MTS-2000 Platform",16
"18320","AMERICA MOVIL","TB/MTS 8000 Platform",15
"18637","AMERICA MOVIL","Test Productivity Pack",13.3991601201897
"18855","AMERICA MOVIL","TestPad 2000",7
"19266","AMERICA MOVIL","Ultra FED",11.6315789473684
